"Punkt_ID" "X[m]" "Y[m]" "Z[m]" "PCode" "ErrCode" "P_X[m]" "dh[m]" "DOF" "D_XX[cm^2]" "D_YY[cm^2]" "D_ZZ[cm^2]" "D_XY[cm^2]" "D_XZ[cm^2]" "D_YZ[cm^2]"
247 -1006.422 2045.66 1973.002 0 0 0.006 0.758 1 126.4 655 5332.3 -80.4 264.3 -1700.8
248 -1019.929 2045.355 1968.479 0 0 0.028 1.144 1 137.9 655 5366.7 -91.9 287.3 -1700.8
249 -1015.639 2045.275 1969.983 0 0 0.018 1.093 1 137.9 655 5355.2 -91.9 275.8 -1700.8
250 -1003.288 2045.482 1974.092 0 0 0.035 0.663 1 126.4 655 5332.3 -80.4 252.8 -1700.8
251 -1031.49 2044.894 1963.5 0 0 0.022 0.928 1 137.9 666.5 5401.2 -103.4 310.3 -1712.3
252 -985.427 2044.75 1982.128 0 0 0.033 1.016 1 126.4 655 5274.8 -69 218.3 -1677.8
253 -1009.822 2043.859 1971.268 0 0 0.001 0.839 1 137.9 655 5343.8 -80.4 264.3 -1700.8
254 -977.912 2043.645 1986.103 0 0 0.011 1.106 1 126.4 655 5240.3 -69 206.9 -1677.8
255 -996.328 2043.239 1976.953 0 0 0.004 0.821 1 126.4 655 5309.3 -80.4 241.3 -1689.3
256 -1004.775 2042.646 1972.808 0 0 0.037 0.724 1 126.4 655 5332.3 -80.4 264.3 -1689.3
257 -1000.946 2042.665 1974.46 0 0 0.031 0.733 1 126.4 655 5320.8 -80.4 252.8 -1689.3
258 -1041.512 2042.338 1959.339 0 0 0.031 0.856 1 137.9 666.5 5435.7 -103.4 333.3 -1712.3
259 -988.689 2042.267 1979.964 0 0 0.041 1.107 1 126.4 655 5286.3 -69 229.8 -1677.8
260 -979.497 2040.581 1984.152 0 0 0.019 0.984 1 126.4 643.5 5251.8 -69 206.9 -1666.3
261 -984.43 2040.262 1981.384 0 0 0.027 1.12 1 126.4 655 5274.8 -69 218.3 -1677.8
262 -998.696 2039.418 1974.534 0 0 0.014 0.887 1 126.4 655 5320.8 -80.4 252.8 -1689.3
263 -989.892 2039.151 1978.273 0 0 0.021 1.074 1 126.4 655 5297.8 -69 229.8 -1677.8
264 -1034.98 2037.948 1959.977 0 0 0.007 0.873 1 137.9 655 5424.2 -103.4 321.8 -1700.8
265 -1014.943 2037.642 1967.944 0 0 0.001 1.032 1 137.9 655 5366.7 -91.9 275.8 -1689.3
284 -962.379 2087.037 1991.883 0 0 0.051 1.066 1 126.4 701 5205.8 -57.5 183.9 -1735.3
285 -946.578 2086.387 1994.734 0 0 0.035 0.989 1 126.4 701 5182.9 -46 149.4 -1735.3
286 -958.508 2085.874 1992.832 0 0 0.02 1.183 1 126.4 701 5194.4 -57.5 172.4 -1735.3
287 -935.054 2086.1 1994.486 255 0 0.006 0.886 1 114.9 701 5182.9 -46 137.9 -1735.3
288 -927.779 2085.774 1994.579 255 0 0.034 0.885 1 114.9 689.5 5182.9 -46 114.9 -1735.3
289 -955.354 2085.016 1993.158 0 0 0.017 1.031 1 126.4 689.5 5194.4 -57.5 172.4 -1735.3
290 -919.761 2085.105 1994.251 255 0 0.057 1.272 1 114.9 689.5 5182.9 -34.5 103.4 -1735.3
